dates,area
2002-12-01,859.375
2002-12-02,1484.375
2002-12-03,859.375
2003-11-19,3125.0
2003-11-20,3398.4375
2003-11-21,2968.75
2003-11-22,4492.1875
2003-11-23,2421.875
2003-11-26,546.875
2003-11-27,4101.5625
2003-11-28,3046.875
2003-11-30,585.9375
2004-01-04,546.875
2004-01-05,1054.6875
2004-11-22,546.875
2005-01-03,781.25
2005-01-04,1953.125
2005-01-05,1835.9375
2005-01-08,546.875
2005-01-09,976.5625
2006-02-20,1328.125
2006-02-21,2070.3125
2006-02-22,664.0625
2006-12-01,1835.9375
2006-12-02,3437.5
2006-12-03,3398.4375
2006-12-04,1210.9375
2007-03-27,781.25
2007-03-28,664.0625
2007-03-29,585.9375
2008-01-23,742.1875
2008-12-08,507.8125
2008-12-09,664.0625
2008-12-10,703.125
2008-12-11,937.5
2008-12-12,507.8125
2008-12-13,937.5
2008-12-14,2109.375
2008-12-15,4023.4375
2008-12-16,1953.125
2008-12-17,4335.9375
2008-12-18,898.4375
2008-12-19,820.3125
2008-12-21,703.125
2008-12-22,1289.0625
2008-12-23,1015.625
2008-12-24,546.875
2009-01-22,1093.75
2009-01-23,1054.6875
2009-01-24,742.1875
2009-02-24,898.4375
2009-02-25,781.25
2009-02-28,1054.6875
2009-03-01,1835.9375
2009-03-02,625.0
2010-11-16,1015.625
2010-11-17,2851.5625
2010-11-18,4335.9375
2010-11-19,2695.3125
2010-11-20,585.9375
2010-11-21,1015.625
2010-11-22,1093.75
2010-11-23,898.4375
2010-12-19,507.8125
2011-02-23,546.875
2011-02-24,664.0625
2011-02-25,1445.3125
2012-12-21,859.375
2012-12-22,2070.3125
2012-12-23,2070.3125
2012-12-24,1093.75
2013-12-01,1367.1875
2013-12-02,1328.125
2013-12-03,1640.625
2013-12-04,1406.25
2013-12-05,1132.8125
2013-12-09,781.25
2013-12-24,507.8125
2014-11-23,820.3125
2014-12-29,781.25
2015-01-31,546.875
2015-02-26,1132.8125
2015-02-27,1132.8125
2015-02-28,703.125
2015-03-01,585.9375
2016-11-29,1289.0625
2016-11-30,820.3125
2016-12-04,625.0
2016-12-05,1171.875
2016-12-06,1367.1875
2016-12-07,742.1875
2016-12-09,585.9375
2016-12-10,585.9375
2016-12-11,507.8125
2016-12-12,859.375
2016-12-15,820.3125
2016-12-16,625.0
2016-12-17,1523.4375
2016-12-22,3554.6875
2016-12-23,5000.0
2016-12-24,4531.25
2016-12-25,1328.125
2016-12-31,1562.5
2017-01-01,1328.125
2017-01-02,3710.9375
2017-01-03,5390.625
2017-01-04,5781.25
2017-01-05,3906.25
2017-01-06,1132.8125
2017-01-07,1367.1875
2017-01-08,2382.8125
2017-01-09,2812.5
2017-01-10,3515.625
2017-01-11,625.0
2017-01-31,1562.5
2017-02-01,1601.5625
2017-02-02,2109.375
2017-02-03,2929.6875
2017-02-04,1992.1875
2017-02-05,1484.375
2017-12-22,546.875
2017-12-23,1406.25
2017-12-24,859.375
2017-12-25,625.0
2018-02-21,1484.375
2019-02-25,898.4375
2019-02-27,585.9375
2019-03-29,976.5625
2019-03-30,859.375
2019-03-31,1132.8125
2020-01-14,703.125
2020-01-15,664.0625
2020-01-16,1757.8125
2020-01-17,2343.75
2020-01-18,1953.125
2020-03-14,2343.75
2020-03-15,2656.25
2020-03-16,1875.0
2020-03-17,1835.9375
2020-03-18,1992.1875
2020-03-19,2500.0
2020-03-20,3125.0
2020-03-21,3476.5625
2020-03-22,625.0
2020-03-25,1054.6875
2020-12-04,1796.875
2021-01-24,781.25
2021-12-04,664.0625
2021-12-05,2031.25
2021-12-06,3710.9375
2021-12-07,3320.3125
2021-12-08,3945.3125
2021-12-09,3632.8125
2021-12-10,1601.5625
2021-12-21,1132.8125
2021-12-22,625.0
