dates,area
2002-12-01,859.375
2002-12-22,234.375
2003-11-19,3125.0
2003-11-22,4492.1875
2003-11-26,546.875
2003-11-30,585.9375
2004-01-04,546.875
2004-11-05,273.4375
2004-11-08,234.375
2004-11-22,546.875
2004-12-26,429.6875
2005-01-02,468.75
2005-01-08,546.875
2006-02-20,1328.125
2006-02-25,312.5
2006-11-27,351.5625
2006-12-01,1835.9375
2006-12-06,351.5625
2007-03-26,234.375
2008-01-21,312.5
2008-01-23,742.1875
2008-12-08,507.8125
2008-12-13,937.5
2008-12-17,4335.9375
2008-12-21,703.125
2009-01-18,429.6875
2009-01-22,1093.75
2009-02-17,468.75
2009-02-23,468.75
2009-02-28,1054.6875
2009-12-22,234.375
2010-11-16,1015.625
2010-11-21,1015.625
2010-12-19,507.8125
2011-02-19,273.4375
2011-02-23,546.875
2011-03-23,312.5
2012-11-23,273.4375
2012-12-16,273.4375
2012-12-18,468.75
2012-12-21,859.375
2013-01-14,273.4375
2013-12-01,1367.1875
2013-12-03,1640.625
2013-12-09,781.25
2013-12-24,507.8125
2014-11-21,312.5
2014-12-28,312.5
2015-01-31,546.875
2015-02-02,468.75
2015-02-25,234.375
2015-03-03,312.5
2016-01-06,273.4375
2016-11-29,1289.0625
2016-12-04,625.0
2016-12-09,585.9375
2016-12-12,859.375
2016-12-15,820.3125
2016-12-17,1523.4375
2016-12-21,234.375
2016-12-30,312.5
2017-01-02,3710.9375
2017-01-07,1367.1875
2017-01-31,1562.5
2017-02-11,312.5
2017-12-22,546.875
2018-02-20,234.375
2018-03-04,234.375
2018-03-06,234.375
2019-02-25,898.4375
2019-02-27,585.9375
2019-03-01,429.6875
2019-03-04,273.4375
2019-03-28,468.75
2019-03-31,1132.8125
2020-01-14,703.125
2020-01-16,1757.8125
2020-03-13,273.4375
2020-03-18,1992.1875
2020-03-24,312.5
2020-12-04,1796.875
2021-01-23,468.75
2021-12-04,664.0625
2021-12-08,3945.3125
2021-12-12,390.625
2021-12-20,273.4375
