dates,area
2002-12-20,363.6385754042553
2003-12-28,319.8416409365503
2003-12-30,493.6374751199527
2004-01-01,460.82125485968055
2004-11-23,217.37981697278894
2005-03-16,552.3996877303648
2006-02-17,378.68941498817355
2006-02-19,1327.9510983337543
2006-03-15,712.3379865358703
2007-02-01,412.23421043714774
2007-02-03,947.4795138987979
2007-02-07,519.3944381219445
2007-11-24,566.8592723951259
2007-12-03,460.7105638208277
2007-12-06,395.22037574870416
2008-01-20,597.4925866482287
2010-01-23,230.81905950587065
2010-03-20,212.30109368888944
2010-12-17,279.73002230072547
2011-01-29,295.7501590808569
2011-02-01,243.9983514306424
2011-02-18,571.76549612983
2012-11-14,251.90782262274354
2013-01-05,234.09967485390547
2013-01-13,323.9709979104632
2013-02-26,220.70199454555527
2013-03-05,786.0561099907272
2013-03-09,888.2161982436445
2013-03-16,215.59473783675966
2014-02-04,231.6959244907871
2014-02-28,271.99365450900797
2014-03-02,303.37278476126266
2014-03-25,240.45105187041702
2014-11-20,581.1811533061583
2014-12-31,316.05833706961306
2015-02-25,378.70259015684053
2015-03-03,290.25589942913166
2016-01-06,781.9300169962348
2016-01-25,283.23919898189695
2016-02-03,273.4350974691895
2016-02-15,222.30297692156506
2016-02-27,676.6779104448327
2018-01-09,392.5158966978345
2018-03-02,393.47645665802145
2018-03-06,275.593696288481
2018-03-12,214.2388805319073
2018-03-23,402.6254934738983
2018-03-28,1245.3195906606613
2018-03-31,1190.8742182340195
2018-12-26,605.9472130645863
2019-01-28,369.7211851478665
2019-02-08,451.863094631311
2019-02-10,392.66464443156724
2019-02-12,334.10742096711084
2019-02-23,299.89952983861644
2019-02-28,412.97906802795404
2019-03-04,227.7831387779078
2019-12-10,324.5415722444269
2020-03-13,313.65841799439073
2020-03-31,342.83088516534065
2020-12-23,756.0182874649645
2021-01-22,269.56608380665966
2021-03-08,1710.4683938463081
2021-03-13,692.2712919290211
2022-02-26,409.95366126717204
2022-03-24,224.03264279810003
