dates,area
2004-01-04,240.15947312082255
2005-01-02,220.7979825657629
2005-01-08,233.57818936040087
2006-02-20,648.0764065193406
2007-03-27,466.92936282239435
2008-01-21,119.35539105938929
2008-01-23,276.5454741870254
2009-01-22,638.3527417862068
2009-02-17,180.60292590787634
2009-02-22,104.26218302780751
2009-02-28,572.7331328482073
2011-02-19,117.51044464754861
2011-02-23,229.66741535703656
2013-01-14,112.97640067809749
2013-03-10,107.54751446388642
2015-01-31,354.68727886106143
2015-02-02,213.93763444467427
2015-02-26,843.0206851807845
2015-03-03,155.2944264576984
2016-01-06,118.76610464597033
2017-01-01,643.3086547009
2017-01-04,3949.7701825213
2017-01-31,855.9052084729998
2018-02-20,121.67967992586777
2018-03-04,109.72504302836852
2019-02-25,477.96916810929605
2019-02-27,262.97046812982114
2019-03-04,121.49452542214192
2019-03-28,303.67955101596664
2020-01-14,316.49146992245016
2020-03-13,101.2052367396133
2020-03-25,560.3465260883124
2021-01-23,206.83471047413292
2023-02-24,155.77567244342575
2023-03-08,270.8255404895181
2023-03-26,122.09980294164775
2024-01-03,119.23340533040854
2024-01-09,198.1829051800852
2024-01-23,388.12955373104234
