dates,area
2002-12-01,459.1446432853216
2003-11-06,3113.2958318730857
2003-11-08,2668.6127590242722
2003-11-19,1422.00071690811
2003-11-22,1947.00943871979
2003-11-26,251.74366755808597
2003-11-30,216.30826138821732
2004-01-05,320.5018306620436
2004-11-22,230.9944955044102
2005-01-03,374.95999744904844
2005-01-08,233.57818936040087
2006-02-20,594.2454846189072
2006-11-19,319.5093140939796
2006-12-01,795.4350085471656
2007-03-27,389.86912451631764
2007-11-30,322.12137683517125
2007-12-07,433.78954747648993
2007-12-10,492.44066719408306
2008-01-23,233.28172566783593
2008-12-11,242.017150991581
2008-12-13,303.48715043450335
2008-12-17,2210.96245486174
2008-12-19,360.083630998808
2008-12-21,296.99713976542665
2009-01-22,497.3276748251192
2009-02-24,344.8104795960495
2009-02-28,346.80026082110004
2010-11-16,475.5877314935869
2010-11-21,472.23430798146995
2011-02-25,518.109456682815
2012-12-18,230.72781570301882
2012-12-21,345.7501179466038
2013-12-01,581.5277858832224
2013-12-04,854.5429273132693
2013-12-09,290.1512629686025
2013-12-24,224.49935890849585
2014-11-07,763.5545883404693
2014-11-10,508.51145616885645
2014-11-15,425.25925233492023
2014-11-23,247.64583691810913
2014-12-29,319.37302106035906
2015-01-31,281.02940135227607
2015-02-26,462.7394447161647
2015-03-01,312.15985418610734
2016-11-29,638.9915952441044
2016-12-04,342.0150583952274
2016-12-09,271.60429235897203
2016-12-12,437.2632795749526
2016-12-15,272.91694195905217
2016-12-17,573.1999334634359
2016-12-22,2396.3631611796054
2016-12-31,828.8902368910603
2017-01-02,2782.8924554643017
2017-01-07,591.797273786569
2017-01-31,460.9500715394705
2017-12-23,614.0379378985019
2018-02-21,440.93497052017733
2019-02-25,205.00757471372003
2019-03-28,224.95395020260412
2019-03-31,587.0090087108396
2019-12-16,317.52484392661097
2019-12-21,206.72511401977766
2020-01-14,217.92816723284847
2020-03-14,1107.0839269188853
2020-03-18,973.9514738079178
2020-03-25,513.8497556737208
2020-12-04,971.5753604473211
2021-01-24,208.41252620557916
2021-12-04,274.604292835749
2021-12-08,2376.630764447424
2021-12-21,457.4564303712215
