dates,area
2002-12-02,735.6969774166996
2002-12-03,413.22939078230263
2004-01-04,240.15947312082255
2004-01-05,557.0150456254601
2004-12-26,219.3831099662704
2005-01-02,220.7979825657629
2005-01-03,403.54062260517895
2005-01-04,1130.7922746466274
2005-01-05,948.6809840762199
2005-01-08,233.57818936040087
2005-01-09,413.91583276981174
2006-02-20,648.0764065193406
2006-02-21,1206.9680985344376
2006-02-22,292.40007602504915
2007-03-27,466.92936282239435
2007-03-28,433.17641611782534
2007-03-29,276.2727603947875
2007-04-01,353.4129003942811
2007-04-02,227.26957525613474
2008-01-21,119.35539105938929
2008-01-23,276.5454741870254
2008-04-03,164.13293785516234
2008-04-04,168.79815810574468
2008-04-05,244.66267737566497
2008-04-06,369.6015537433727
2008-04-07,102.32092441980505
2008-12-08,183.6557858176362
2008-12-09,341.08953160983276
2008-12-10,310.62411865069305
2008-12-11,390.22621510067506
2008-12-12,191.63171865350597
2008-12-13,396.48611872288046
2008-12-14,1145.1174314323275
2008-12-15,2209.0077645667816
2008-12-16,912.8228780139286
2008-12-17,2338.017540889936
2008-12-18,368.4079038138333
2008-12-19,373.94139259608767
2008-12-21,296.99713976542665
2008-12-22,601.0537291324551
2008-12-23,497.1548118374541
2008-12-24,267.26288941560375
2009-01-22,638.3527417862068
2009-01-23,638.3350296451308
2009-01-24,380.158742914442
2009-02-17,180.60292590787634
2009-02-22,104.26218302780751
2009-02-23,207.45205566985757
2009-02-24,448.2713896753149
2009-02-25,394.70589064985575
2009-02-28,572.7331328482073
2009-03-01,1141.3125074828572
2009-03-02,236.20813310461563
2010-12-19,253.08245402475845
2011-02-19,117.51044464754861
2011-02-23,229.66741535703656
2011-02-24,284.5342908998462
2011-02-25,817.732624490419
2011-04-01,272.8497288375367
2012-12-18,250.44748476750232
2012-12-19,214.3576463623235
2012-12-21,408.8786376808284
2012-12-22,1232.6049018131596
2012-12-23,1234.1182042106354
2012-12-24,458.0523364478815
2013-01-14,112.97640067809749
2013-03-10,107.54751446388642
2013-12-02,770.5889081346774
2013-12-03,738.5894637001617
2013-12-04,854.5429273132693
2013-12-05,559.023797118239
2013-12-09,290.1512629686025
2013-12-10,175.67442202294706
2013-12-24,237.42255625479928
2014-12-28,146.35495011412235
2014-12-29,389.72463227320793
2014-12-30,170.8463946433723
2015-01-31,354.68727886106143
2015-02-02,213.93763444467427
2015-02-26,843.0206851807845
2015-02-27,873.4387695889602
2015-02-28,378.3892106274428
2015-03-01,385.71620221857165
2015-03-03,155.2944264576984
2015-03-04,186.19433050598724
2016-01-06,118.76610464597033
2016-12-04,356.8018576501321
2016-12-05,559.1677483408766
2016-12-06,637.4629851240804
2016-12-07,306.4769568370251
2016-12-08,220.1179998795004
2016-12-09,312.7592771410049
2016-12-10,301.52031713470274
2016-12-11,295.2529629297677
2016-12-12,477.97959444493733
2016-12-15,399.0920853346387
2016-12-16,276.5112591917019
2016-12-17,806.7436410319992
2016-12-18,130.2173615469713
2016-12-22,2482.5225130080153
2016-12-23,3610.755999186604
2016-12-24,2693.456590352341
2016-12-25,655.0702896523536
2016-12-30,162.10214603938704
2016-12-31,844.295950433336
2017-01-01,643.3086547009
2017-01-02,2871.4097321624527
2017-01-04,3949.7701825213
2017-01-05,2006.251954869965
2017-01-06,464.8883949184921
2017-01-07,591.797273786569
2017-01-08,1351.273015653338
2017-01-09,1584.5896187842532
2017-01-10,2354.496597123991
2017-01-11,254.31013504724126
2017-01-31,855.9052084729998
2017-02-01,972.8125522214625
2017-02-02,1257.5570302679546
2017-02-03,1891.539119137983
2017-02-04,1154.5048550190788
2017-02-05,799.2355625985405
2017-12-22,306.2357557337916
2017-12-23,656.8202501828009
2017-12-24,371.77497951440796
2017-12-25,290.93034692520934
2018-02-20,121.67967992586777
2018-02-21,691.2983417370867
2018-03-04,109.72504302836852
2019-02-25,477.96916810929605
2019-02-27,262.97046812982114
2019-02-28,148.70646004251233
2019-03-01,189.79404497189893
2019-03-02,173.80704396502037
2019-03-04,121.49452542214192
2019-03-05,101.69676856985967
2019-03-28,303.67955101596664
2019-03-29,640.7995241529343
2019-03-30,483.85958290979704
2019-03-31,724.1316576894633
2019-04-01,421.40314185333966
2019-12-11,328.84767673070473
2019-12-12,276.2542410142395
2019-12-13,286.8990288554636
2019-12-15,176.4037940161008
2019-12-16,370.2566017833173
2019-12-17,734.6213736568528
2019-12-18,835.5279915570225
2019-12-19,701.0715177302695
2019-12-20,491.94723305793394
2019-12-21,461.22720754691005
2020-01-14,316.49146992245016
2020-01-15,345.5675973985041
2020-01-16,954.7525564748883
2020-01-17,1656.668462642603
2020-01-18,1230.3599112661748
2020-03-13,101.2052367396133
2020-03-14,1719.267377980368
2020-03-15,1708.152862746569
2020-03-16,1090.2818404789678
2020-03-17,1095.19879408901
2020-03-18,1202.4350874090926
2020-03-19,1634.5680483297838
2020-03-20,2545.8891097557307
2020-03-21,2101.1482813448392
2020-03-22,246.75467508692014
2020-03-25,560.3465260883124
2020-04-02,123.82162791623293
2020-04-03,104.9873039555202
2020-04-04,125.37736680230547
2020-04-05,142.30865163728225
2020-04-06,605.5157393721722
2020-04-07,357.8167583830487
2020-04-08,266.11089684398735
2020-04-09,315.0509190545389
2020-04-10,516.7473851805663
2020-12-04,984.1758279771724
2021-01-23,206.83471047413292
2021-01-24,414.8626235270107
2021-01-25,105.85086983646502
2021-12-04,302.5327805818946
2021-12-05,1461.4037130547522
2021-12-06,2563.0514667314583
2021-12-07,2352.954622037435
2021-12-08,2576.4573445008173
2021-12-09,2129.795215889968
2021-12-10,822.09173879335
2021-12-20,140.19380223887288
2021-12-21,523.8153030025481
2021-12-22,332.32105933848896
2022-12-13,412.16265822628657
2022-12-14,799.4875497628452
2022-12-15,1175.2466850607539
2022-12-16,416.84348593635895
2022-12-18,438.80442855687096
2023-02-24,155.77567244342575
2023-02-25,495.6375894881877
2023-02-26,307.93312757288226
2023-03-08,270.8255404895181
2023-03-09,394.41356900959744
2023-03-10,121.94404576501225
2023-03-26,122.09980294164775
2023-03-27,178.57165941439428
2023-03-28,225.14345165078564
2023-03-29,165.72639096114295
2023-03-30,188.99179332116225
2023-12-02,142.35717869573588
2024-01-03,119.23340533040854
2024-01-04,181.00898016365642
2024-01-09,198.1829051800852
2024-01-10,346.7026035908856
2024-01-11,451.54257066697846
2024-01-12,727.3407075630942
2024-01-13,318.75061510920807
2024-01-14,595.2205959831304
2024-01-15,817.7688522267633
2024-01-16,994.7974348260075
2024-01-17,1060.4756772586502
2024-01-18,611.4995324444501
2024-01-19,259.71167796912073
2024-01-23,388.12955373104234
2024-01-24,850.8985177330243
