dates,area
2002-12-01,859.375
2003-11-19,3125.0
2003-11-22,4492.1875
2003-11-26,546.875
2003-11-30,585.9375
2004-01-04,546.875
2004-11-22,546.875
2005-01-03,781.25
2005-01-08,546.875
2006-02-20,1328.125
2006-12-01,1835.9375
2007-03-27,781.25
2008-01-23,742.1875
2008-12-08,507.8125
2008-12-13,937.5
2008-12-17,4335.9375
2008-12-21,703.125
2009-01-22,1093.75
2009-02-24,898.4375
2009-02-28,1054.6875
2010-11-16,1015.625
2010-11-21,1015.625
2010-12-19,507.8125
2011-02-23,546.875
2012-12-21,859.375
2013-12-01,1367.1875
2013-12-03,1640.625
2013-12-09,781.25
2013-12-24,507.8125
2014-11-23,820.3125
2014-12-29,781.25
2015-01-31,546.875
2015-02-26,1132.8125
2016-11-29,1289.0625
2016-12-04,625.0
2016-12-09,585.9375
2016-12-12,859.375
2016-12-15,820.3125
2016-12-17,1523.4375
2016-12-22,3554.6875
2016-12-31,1562.5
2017-01-02,3710.9375
2017-01-07,1367.1875
2017-01-31,1562.5
2017-12-22,546.875
2018-02-21,1484.375
2019-02-25,898.4375
2019-02-27,585.9375
2019-03-29,976.5625
2019-03-31,1132.8125
2020-01-14,703.125
2020-01-16,1757.8125
2020-03-14,2343.75
2020-03-18,1992.1875
2020-03-25,1054.6875
2020-12-04,1796.875
2021-01-24,781.25
2021-12-04,664.0625
2021-12-08,3945.3125
2021-12-21,1132.8125
