dates,area
2002-12-20,363.6385754042553
2002-12-21,230.63704262733881
2003-12-28,319.8416409365503
2003-12-29,214.0843768143537
2003-12-30,493.6374751199527
2003-12-31,263.68859796669915
2004-01-01,460.82125485968055
2004-01-02,934.7111971373718
2004-01-03,286.4469560393892
2004-11-23,217.37981697278894
2005-03-16,552.3996877303648
2005-03-17,386.77443866095086
2006-02-17,378.68941498817355
2006-02-18,319.35722792637154
2006-02-19,1327.9510983337543
2006-03-15,712.3379865358703
2006-03-16,662.6762572536626
2007-02-01,412.23421043714774
2007-02-02,223.99978799131887
2007-02-03,947.4795138987979
2007-02-04,926.1848942101302
2007-02-05,319.73598630126725
2007-02-07,519.3944381219445
2007-02-08,920.3646358417584
2007-02-09,934.3559073577266
2007-02-10,244.62180964857959
2007-11-24,566.8592723951259
2007-11-25,824.638873111481
2007-11-26,1089.9557703754656
2007-12-03,460.7105638208277
2007-12-06,395.22037574870416
2008-01-20,597.4925866482287
2008-01-21,733.4483007317058
2008-12-12,307.4706341920278
2010-01-23,230.81905950587065
2010-01-24,242.59831438688852
2010-03-20,212.30109368888944
2010-12-17,279.73002230072547
2010-12-18,352.5111056740801
2011-01-29,295.7501590808569
2011-01-30,348.10856410510576
2011-01-31,218.79065483894274
2011-02-01,243.9983514306424
2011-02-18,571.76549612983
2012-11-14,251.90782262274354
2013-01-05,234.09967485390547
2013-01-13,323.9709979104632
2013-01-14,882.0629157701793
2013-01-15,488.1687489879474
2013-02-26,220.70199454555527
2013-03-05,786.0561099907272
2013-03-06,1005.6375272651976
2013-03-07,770.3447961958844
2013-03-08,259.26137783913725
2013-03-09,888.2161982436445
2013-03-10,507.8075589309539
2013-03-16,215.59473783675966
2014-02-04,231.6959244907871
2014-02-28,271.99365450900797
2014-03-02,303.37278476126266
2014-03-25,240.45105187041702
2014-03-26,448.8012476392969
2014-03-27,402.306953058277
2014-03-28,304.00353184332477
2014-11-20,581.1811533061583
2014-11-21,224.7157262953929
2014-11-24,244.8384781532136
2014-12-31,316.05833706961306
2015-02-25,378.70259015684053
2015-03-03,290.25589942913166
2015-03-04,267.2435305634088
2016-01-06,781.9300169962348
2016-01-07,589.0352074340394
2016-01-08,424.8619955875628
2016-01-25,283.23919898189695
2016-01-26,429.8962136369813
2016-01-27,723.1210599806054
2016-02-03,273.4350974691895
2016-02-15,222.30297692156506
2016-02-27,676.6779104448327
2016-02-28,422.38474420921955
2016-02-29,289.00549477734774
2016-12-18,354.74486438829837
2018-01-09,392.5158966978345
2018-03-02,393.47645665802145
2018-03-06,275.593696288481
2018-03-12,214.2388805319073
2018-03-13,244.14988795822757
2018-03-14,275.36423712108984
2018-03-23,402.6254934738983
2018-03-24,1293.2487322243912
2018-03-25,1979.2275960460097
2018-03-26,1470.3129166410963
2018-03-27,1089.2726350885223
2018-03-28,1245.3195906606613
2018-03-29,817.9070278269172
2018-03-30,743.125022839405
2018-03-31,1190.8742182340195
2018-12-26,605.9472130645863
2019-01-28,369.7211851478665
2019-02-08,451.863094631311
2019-02-10,392.66464443156724
2019-02-11,318.00506100093656
2019-02-12,334.10742096711084
2019-02-23,299.89952983861644
2019-02-24,287.9142804955194
2019-02-28,412.97906802795404
2019-03-01,336.56329926727335
2019-03-02,245.80139990295046
2019-03-04,227.7831387779078
2019-03-05,200.4954589772635
2019-12-10,324.5415722444269
2020-03-13,313.65841799439073
2020-03-31,342.83088516534065
2020-12-23,756.0182874649645
2021-01-22,269.56608380665966
2021-03-08,1710.4683938463081
2021-03-09,2128.486020219966
2021-03-10,2015.1816714670185
2021-03-13,692.2712919290211
2021-03-14,1569.6885694390028
2021-03-15,1053.7419245852568
2021-03-16,354.3917471170516
2022-02-26,409.95366126717204
2022-02-27,312.32802604130126
2022-03-24,224.03264279810003
2022-03-25,400.654928413847
2022-03-26,212.77652944926177
